,INDP,count_target,count_deidentified
21,1070,1,0.0
35,1080,3,1.0
53,1090,1,0.0
34,1170,2,2.0
20,1180,2,2.0
12,1190,9,4.0
42,1270,1,3.0
11,1280,5,10.0
6,1370,6,3.0
16,1480,2,3.0
52,1490,1,0.0
39,1570,1,0.0
26,1691,3,3.0
45,1770,3,3.0
50,1790,1,1.0
29,1870,3,2.0
0,1880,2,1.0
1,1990,14,11.0
48,2170,1,3.0
43,2180,1,0.0
7,2190,64,56.0
22,2270,4,2.0
54,2280,1,3.0
5,2290,13,6.0
32,2370,4,5.0
44,2470,1,1.0
49,2480,1,0.0
27,2490,1,2.0
15,2570,2,4.0
41,2590,1,1.0
25,2670,1,1.0
46,2690,1,0.0
55,2790,1,4.0
36,2870,4,8.0
31,2880,15,13.0
33,2970,1,1.0
9,2980,5,1.0
51,3080,1,0.0
8,3095,2,1.0
14,3291,21,17.0
24,3365,7,5.0
30,3370,6,5.0
10,3380,44,42.0
18,3390,56,32.0
17,3470,1,1.0
19,3490,16,20.0
38,3570,5,4.0
3,3580,31,29.0
2,3590,2,1.0
37,3680,2,1.0
40,3875,3,6.0
28,3895,8,2.0
13,3960,29,45.0
47,3970,2,2.0
4,3980,13,12.0
23,3990,10,8.0
