,Target,QID Combination,DiSCO Score
0,PINCP,"('HOUSING_TYPE', 'POVPIP', 'RAC1P', 'SEX')",0.0039
1,PINCP,"('POVPIP', 'PWGTP', 'RAC1P', 'SEX')",0.0047
2,PINCP,"('DPHY', 'POVPIP', 'RAC1P', 'SEX')",0.0019
3,PINCP,"('INDP_CAT', 'POVPIP', 'RAC1P', 'SEX')",0.0044
4,PINCP,"('NOC', 'POVPIP', 'RAC1P', 'SEX')",0.0032
5,PINCP,"('DEYE', 'POVPIP', 'RAC1P', 'SEX')",0.0006
6,PINCP,"('POVPIP', 'PUMA', 'RAC1P', 'SEX')",0.0052
7,PINCP,"('OWN_RENT', 'POVPIP', 'RAC1P', 'SEX')",0.0014
8,PINCP,"('POVPIP', 'RAC1P', 'SEX', 'WGTP')",0.0039
9,PINCP,"('HISP', 'POVPIP', 'RAC1P', 'SEX')",0.0019
10,PINCP,"('DVET', 'POVPIP', 'RAC1P', 'SEX')",0.0002
11,PINCP,"('PINCP_DECILE', 'POVPIP', 'RAC1P', 'SEX')",0.0054
12,PINCP,"('DREM', 'POVPIP', 'RAC1P', 'SEX')",0.0036
13,PINCP,"('DEAR', 'POVPIP', 'RAC1P', 'SEX')",0.0003
14,PINCP,"('NPF', 'POVPIP', 'RAC1P', 'SEX')",0.0042
15,PINCP,"('AGEP', 'POVPIP', 'RAC1P', 'SEX')",0.0071
16,PINCP,"('MSP', 'POVPIP', 'RAC1P', 'SEX')",0.0026
17,PINCP,"('EDU', 'POVPIP', 'RAC1P', 'SEX')",0.0055
18,PINCP,"('INDP', 'POVPIP', 'RAC1P', 'SEX')",0.0073
19,PINCP,"('HOUSING_TYPE', 'PWGTP', 'RAC1P', 'SEX')",0.0012
20,PINCP,"('DPHY', 'HOUSING_TYPE', 'RAC1P', 'SEX')",0.0003
21,PINCP,"('HOUSING_TYPE', 'INDP_CAT', 'RAC1P', 'SEX')",0.0003
22,PINCP,"('HOUSING_TYPE', 'NOC', 'RAC1P', 'SEX')",0.0007
23,PINCP,"('DEYE', 'HOUSING_TYPE', 'RAC1P', 'SEX')",0.0
24,PINCP,"('HOUSING_TYPE', 'PUMA', 'RAC1P', 'SEX')",0.002
25,PINCP,"('HOUSING_TYPE', 'OWN_RENT', 'RAC1P', 'SEX')",0.0
26,PINCP,"('HOUSING_TYPE', 'RAC1P', 'SEX', 'WGTP')",0.0006
27,PINCP,"('HISP', 'HOUSING_TYPE', 'RAC1P', 'SEX')",0.0001
28,PINCP,"('DVET', 'HOUSING_TYPE', 'RAC1P', 'SEX')",0.0
29,PINCP,"('HOUSING_TYPE', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0001
30,PINCP,"('DREM', 'HOUSING_TYPE', 'RAC1P', 'SEX')",0.0014
31,PINCP,"('DEAR', 'HOUSING_TYPE', 'RAC1P', 'SEX')",0.0
32,PINCP,"('HOUSING_TYPE', 'NPF', 'RAC1P', 'SEX')",0.0002
33,PINCP,"('AGEP', 'HOUSING_TYPE', 'RAC1P', 'SEX')",0.0004
34,PINCP,"('HOUSING_TYPE', 'MSP', 'RAC1P', 'SEX')",0.0002
35,PINCP,"('EDU', 'HOUSING_TYPE', 'RAC1P', 'SEX')",0.0003
36,PINCP,"('HOUSING_TYPE', 'INDP', 'RAC1P', 'SEX')",0.0022
37,PINCP,"('DPHY', 'PWGTP', 'RAC1P', 'SEX')",0.0043
38,PINCP,"('INDP_CAT', 'PWGTP', 'RAC1P', 'SEX')",0.0049
39,PINCP,"('NOC', 'PWGTP', 'RAC1P', 'SEX')",0.0022
40,PINCP,"('DEYE', 'PWGTP', 'RAC1P', 'SEX')",0.0001
41,PINCP,"('PUMA', 'PWGTP', 'RAC1P', 'SEX')",0.0046
42,PINCP,"('OWN_RENT', 'PWGTP', 'RAC1P', 'SEX')",0.0005
43,PINCP,"('PWGTP', 'RAC1P', 'SEX', 'WGTP')",0.0041
44,PINCP,"('HISP', 'PWGTP', 'RAC1P', 'SEX')",0.0012
45,PINCP,"('DVET', 'PWGTP', 'RAC1P', 'SEX')",0.0001
46,PINCP,"('PINCP_DECILE', 'PWGTP', 'RAC1P', 'SEX')",0.0049
47,PINCP,"('DREM', 'PWGTP', 'RAC1P', 'SEX')",0.002
48,PINCP,"('DEAR', 'PWGTP', 'RAC1P', 'SEX')",0.0001
49,PINCP,"('NPF', 'PWGTP', 'RAC1P', 'SEX')",0.0025
50,PINCP,"('AGEP', 'PWGTP', 'RAC1P', 'SEX')",0.0044
51,PINCP,"('MSP', 'PWGTP', 'RAC1P', 'SEX')",0.0017
52,PINCP,"('EDU', 'PWGTP', 'RAC1P', 'SEX')",0.0044
53,PINCP,"('INDP', 'PWGTP', 'RAC1P', 'SEX')",0.008
54,PINCP,"('DPHY', 'INDP_CAT', 'RAC1P', 'SEX')",0.0015
55,PINCP,"('DPHY', 'NOC', 'RAC1P', 'SEX')",0.001
56,PINCP,"('DEYE', 'DPHY', 'RAC1P', 'SEX')",0.0015
57,PINCP,"('DPHY', 'PUMA', 'RAC1P', 'SEX')",0.0014
58,PINCP,"('DPHY', 'OWN_RENT', 'RAC1P', 'SEX')",0.0
59,PINCP,"('DPHY', 'RAC1P', 'SEX', 'WGTP')",0.0027
60,PINCP,"('DPHY', 'HISP', 'RAC1P', 'SEX')",0.0001
61,PINCP,"('DPHY', 'DVET', 'RAC1P', 'SEX')",0.0001
62,PINCP,"('DPHY', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0
63,PINCP,"('DPHY', 'DREM', 'RAC1P', 'SEX')",0.0016
64,PINCP,"('DEAR', 'DPHY', 'RAC1P', 'SEX')",0.0
65,PINCP,"('DPHY', 'NPF', 'RAC1P', 'SEX')",0.001
66,PINCP,"('AGEP', 'DPHY', 'RAC1P', 'SEX')",0.0015
