,AGEP_x,DEAR_x,DEYE_x,DPHY_x,DREM_x,DVET_x,EDU,HISP,HOUSING_TYPE_x,INDP_x,INDP_CAT,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_x,PINCP_DECILE_x,POVPIP_x,PUMA,RAC1P,SEX,AGEP_y,DEAR_y,DEYE_y,DPHY_y,DREM_y,DVET_y,HOUSING_TYPE_y,INDP_y,NOC_y,NPF_y,PINCP_y,PINCP_DECILE_y,POVPIP_y,percent_match
0,63,2,2,2,2,N,5,0,1,7860,11,1,0,2,2,189000.0,9,501,38-00100,1,1,63,2,2,2,2,N,1,7860,0,2,50200.0,7,454,76.92307692307693
1,15,2,2,2,2,N,3,1,1,N,N,6,2,5,1,0.0,0,366,32-00405,3,2,15,2,2,2,2,N,1,N,3,6,0.0,0,201,76.92307692307693
2,11,2,2,2,2,N,3,1,1,N,N,N,1,3,1,N,N,501,08-00803,3,2,11,2,2,2,2,N,1,N,1,3,N,N,501,100.0
3,46,2,2,2,2,N,7,0,1,8770,15,1,2,4,1,48000.0,7,501,19-01700,1,1,48,2,2,2,2,N,1,8770,2,4,28010.0,4,307,69.23076923076923
4,49,1,2,1,2,N,9,0,1,6690,8,1,0,2,1,17130.0,4,204,01-01301,2,2,53,2,2,1,2,N,1,6690,0,2,50.0,1,35,61.53846153846154
5,24,2,2,2,2,N,7,0,1,5580,6,6,1,2,2,37000.0,5,17,06-07502,6,2,24,2,2,2,2,N,1,5170,0,2,10000.0,2,58,61.53846153846154
6,77,2,2,2,2,N,10,0,1,N,N,4,0,N,1,22000.0,3,181,08-00803,1,1,86,2,2,2,2,N,1,N,0,N,39300.0,5,323,69.23076923076923
7,61,2,2,1,2,N,9,0,2,N,N,2,N,N,0,0.0,0,N,51-51255,1,2,73,2,2,1,2,N,3,N,N,N,3100.0,1,25,61.53846153846154
8,34,2,2,2,2,N,5,0,1,8180,12,4,1,2,2,21600.0,3,132,38-00100,1,2,48,2,2,2,2,N,1,8090,0,N,52000.0,7,395,46.15384615384615
9,48,2,2,2,2,N,9,0,1,8090,12,4,0,N,1,18000.0,3,140,08-00803,1,1,44,2,2,2,2,N,1,8191,0,4,24000.0,4,428,53.84615384615385
10,52,2,2,2,2,5,6,0,1,4470,5,1,0,2,1,70000.0,8,461,38-00100,1,1,72,2,2,2,2,N,1,4380,0,2,56100.0,7,501,53.84615384615385
11,42,2,2,2,2,N,7,0,1,9370,16,4,1,2,2,8200.0,2,34,30-00600,1,2,41,2,2,2,2,N,1,9490,0,N,47690.0,7,362,46.15384615384615
12,76,2,2,2,2,N,10,0,1,6770,8,6,0,N,2,37000.0,5,307,08-00803,1,2,50,2,2,2,2,N,1,6470,0,N,190000.0,9,501,61.53846153846154
13,52,2,2,2,2,N,5,0,1,8590,14,1,0,5,2,28800.0,5,134,06-07502,6,2,41,2,2,2,2,N,1,8660,2,4,50000.0,6,351,46.15384615384615
14,64,2,2,2,2,N,6,0,1,770,3,1,0,2,1,45500.0,7,409,19-01700,1,1,55,2,2,2,2,N,1,770,0,2,70000.0,8,501,69.23076923076923
15,42,2,2,2,2,N,3,4,2,N,N,6,N,N,0,9000.0,2,N,36-03710,1,1,22,2,2,2,2,N,3,N,N,N,0.0,0,0,61.53846153846154
16,55,2,2,2,1,N,7,0,1,7590,10,4,0,N,2,0.0,0,0,17-03529,2,1,55,2,2,2,2,N,1,7590,0,N,51000.0,6,389,69.23076923076923
17,43,2,2,2,2,N,7,0,1,4990,6,6,0,N,1,20000.0,4,152,29-01901,2,2,54,2,2,2,2,N,1,4971,0,5,40000.0,6,284,53.84615384615385
18,64,1,2,2,2,N,1,0,1,2680,4,1,0,2,1,43700.0,6,346,19-01700,1,1,59,2,2,2,2,N,1,3291,0,2,25000.0,4,294,53.84615384615385
19,66,2,2,2,2,N,9,0,1,9570,16,3,0,N,1,79100.0,8,501,13-04600,2,2,66,2,1,2,2,N,1,9470,2,5,8400.0,2,299,46.15384615384615
20,16,2,2,2,2,N,4,1,1,N,N,6,1,3,2,0.0,0,307,40-00200,9,2,15,2,2,2,2,N,1,N,0,3,0.0,0,283,76.92307692307693
21,24,2,2,2,2,N,8,0,1,9170,15,6,0,N,2,74500.0,8,501,26-02702,1,2,24,2,2,2,2,N,1,9170,0,N,14000.0,3,105,76.92307692307693
22,62,2,2,2,2,N,7,0,1,6190,7,4,0,N,1,100000.0,8,501,36-04010,2,1,63,2,2,2,2,N,1,6190,0,N,100000.0,8,501,92.3076923076923
23,85,2,2,2,1,N,8,0,1,N,N,1,0,2,1,0.0,0,501,24-01004,1,1,82,2,2,2,2,N,1,N,0,2,103200.0,8,501,69.23076923076923
24,34,2,2,2,2,N,9,0,1,7870,11,1,1,3,1,30000.0,5,379,17-03529,1,1,33,2,2,2,2,N,1,7890,2,4,55000.0,7,501,46.15384615384615
25,55,2,2,2,2,N,6,0,1,770,3,1,0,2,1,35000.0,6,230,01-01301,2,1,61,2,2,2,2,N,1,770,0,5,10000.0,2,115,61.53846153846154
26,30,2,2,2,2,N,5,1,1,770,3,1,0,2,2,18000.0,3,484,19-01700,1,1,38,2,2,2,2,N,1,770,5,8,50000.0,7,182,53.84615384615385
27,30,2,2,2,2,N,9,0,1,7071,9,1,3,4,2,150000.0,9,501,29-01901,1,2,23,2,2,2,2,N,1,7071,0,2,8000.0,2,457,53.84615384615385
28,31,2,2,2,2,N,9,0,1,7380,10,1,0,2,1,55000.0,7,501,13-04600,2,2,44,2,2,2,2,N,1,7470,1,3,113000.0,9,501,53.84615384615385
29,21,2,2,2,2,N,4,0,1,1270,4,6,0,2,2,18200.0,4,274,28-01100,2,1,39,2,2,2,2,N,1,1280,0,N,350.0,1,2,53.84615384615385
30,53,2,2,2,2,N,11,0,1,7390,10,1,0,2,2,100000.0,8,501,06-07502,1,2,50,2,2,2,2,N,1,7270,1,3,24000.0,4,482,46.15384615384615
31,50,2,2,2,2,N,7,0,1,8290,12,6,1,2,1,18000.0,3,182,19-01700,1,1,19,2,2,2,1,N,1,8270,0,3,5000.0,1,273,38.46153846153847
32,1,2,2,N,N,N,N,0,1,N,N,N,5,8,1,N,N,121,19-01700,6,1,1,2,2,N,N,N,1,N,5,8,N,N,166,92.3076923076923
33,54,2,2,2,2,N,8,0,1,8290,12,1,2,4,1,40000.0,5,289,36-04010,2,1,71,2,2,2,2,N,1,8290,0,4,33000.0,5,163,69.23076923076923
34,57,2,2,2,2,N,9,0,1,8660,14,4,0,N,2,25000.0,5,189,28-01100,1,1,47,2,2,2,2,N,1,8680,0,N,49000.0,7,374,61.53846153846154
35,25,2,2,2,2,N,6,4,3,N,N,6,N,N,0,0.0,0,0,36-04010,1,1,51,2,2,2,2,N,3,N,N,N,5900.0,2,44,69.23076923076923
36,72,1,1,1,2,N,7,0,1,N,N,4,0,N,2,29100.0,5,247,40-00200,3,2,72,1,2,1,2,N,1,N,0,N,11300.0,3,93,69.23076923076923
