,INDP,count_target,count_deidentified
6,4670,75,73
34,4680,5,5
0,4690,36,34
2,4770,42,32
16,4780,5,3
17,4795,49,49
10,4870,59,52
8,4880,26,30
20,4890,28,34
7,4971,189,176
30,4972,31,34
26,4980,22,18
29,4990,9,10
5,5070,66,61
25,5080,38,50
31,5090,50,48
4,5170,124,138
27,5180,15,14
24,5190,16,13
18,5275,57,64
19,5280,5,7
23,5295,5,4
14,5370,17,17
12,5381,44,46
3,5391,154,183
28,5470,14,10
21,5480,14,17
13,5490,21,17
1,5570,15,15
15,5580,32,25
22,5593,52,61
32,5670,4,1
33,5680,8,6
9,5690,13,11
11,5790,41,33
