,INDP,count_target,count_deidentified
3,1070,10,9.0
51,1080,10,8.0
44,1090,9,9.0
59,1170,8,3.0
5,1180,24,18.0
36,1190,14,11.0
18,1270,20,18.0
9,1280,22,24.0
47,1290,3,3.0
39,1370,16,13.0
52,1390,1,0.0
71,1480,1,2.0
58,1590,2,1.0
65,1670,2,0.0
13,1691,14,9.0
56,1770,1,0.0
46,1790,6,6.0
45,1870,8,9.0
67,1880,4,1.0
37,1890,2,0.0
22,1990,29,30.0
50,2070,9,5.0
7,2090,2,1.0
62,2170,2,0.0
60,2180,3,3.0
29,2190,33,40.0
49,2270,1,3.0
23,2280,11,11.0
20,2290,17,24.0
12,2370,25,31.0
42,2380,10,11.0
19,2390,5,3.0
68,2480,4,3.0
41,2490,5,6.0
21,2570,4,3.0
15,2590,3,1.0
10,2670,16,20.0
61,2680,1,2.0
55,2690,3,4.0
1,2770,5,14.0
54,2780,1,0.0
4,2870,12,12.0
6,2880,14,17.0
64,2890,5,6.0
66,2970,3,1.0
16,2980,8,9.0
57,3070,11,14.0
53,3080,10,14.0
34,3095,6,6.0
31,3170,2,4.0
40,3180,5,2.0
0,3291,34,44.0
26,3365,44,48.0
17,3370,17,16.0
32,3380,26,27.0
24,3390,100,105.0
63,3470,3,3.0
30,3490,29,40.0
2,3570,69,85.0
14,3580,48,42.0
25,3590,7,6.0
48,3670,1,3.0
35,3680,6,6.0
27,3690,2,0.0
69,3770,6,3.0
70,3780,1,1.0
72,3790,1,0.0
43,3875,9,8.0
38,3895,20,19.0
8,3960,33,36.0
33,3970,10,10.0
28,3980,26,26.0
11,3990,30,26.0
