,Target,QID Combination,DiSCO Score
0,OWN_RENT,"('DEYE', 'HOUSING_TYPE', 'RAC1P', 'SEX')",0.0455
1,OWN_RENT,"('AGEP', 'DEYE', 'RAC1P', 'SEX')",0.0023
2,OWN_RENT,"('DEYE', 'DVET', 'RAC1P', 'SEX')",0.0008
3,OWN_RENT,"('DEYE', 'MSP', 'RAC1P', 'SEX')",0.0013
4,OWN_RENT,"('DEYE', 'EDU', 'RAC1P', 'SEX')",0.001
5,OWN_RENT,"('DEYE', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0022
6,OWN_RENT,"('AGEP', 'HOUSING_TYPE', 'RAC1P', 'SEX')",0.0514
7,OWN_RENT,"('DVET', 'HOUSING_TYPE', 'RAC1P', 'SEX')",0.0455
8,OWN_RENT,"('HOUSING_TYPE', 'MSP', 'RAC1P', 'SEX')",0.0485
9,OWN_RENT,"('EDU', 'HOUSING_TYPE', 'RAC1P', 'SEX')",0.0492
10,OWN_RENT,"('HOUSING_TYPE', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0506
11,OWN_RENT,"('AGEP', 'DVET', 'RAC1P', 'SEX')",0.0044
12,OWN_RENT,"('AGEP', 'MSP', 'RAC1P', 'SEX')",0.0126
13,OWN_RENT,"('AGEP', 'EDU', 'RAC1P', 'SEX')",0.0231
14,OWN_RENT,"('AGEP', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0229
15,OWN_RENT,"('DVET', 'MSP', 'RAC1P', 'SEX')",0.0027
16,OWN_RENT,"('DVET', 'EDU', 'RAC1P', 'SEX')",0.0026
17,OWN_RENT,"('DVET', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0041
18,OWN_RENT,"('EDU', 'MSP', 'RAC1P', 'SEX')",0.0073
19,OWN_RENT,"('MSP', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0059
20,OWN_RENT,"('EDU', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0078
21,DEYE,"('HOUSING_TYPE', 'OWN_RENT', 'RAC1P', 'SEX')",0.0074
22,DEYE,"('AGEP', 'OWN_RENT', 'RAC1P', 'SEX')",0.1924
23,DEYE,"('DVET', 'OWN_RENT', 'RAC1P', 'SEX')",0.0129
24,DEYE,"('MSP', 'OWN_RENT', 'RAC1P', 'SEX')",0.0569
25,DEYE,"('EDU', 'OWN_RENT', 'RAC1P', 'SEX')",0.1222
26,DEYE,"('OWN_RENT', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0977
27,DEYE,"('AGEP', 'HOUSING_TYPE', 'RAC1P', 'SEX')",0.1224
28,DEYE,"('DVET', 'HOUSING_TYPE', 'RAC1P', 'SEX')",0.0156
29,DEYE,"('HOUSING_TYPE', 'MSP', 'RAC1P', 'SEX')",0.032
30,DEYE,"('EDU', 'HOUSING_TYPE', 'RAC1P', 'SEX')",0.089
31,DEYE,"('HOUSING_TYPE', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0622
32,DEYE,"('AGEP', 'DVET', 'RAC1P', 'SEX')",0.0867
33,DEYE,"('AGEP', 'MSP', 'RAC1P', 'SEX')",0.196
34,DEYE,"('AGEP', 'EDU', 'RAC1P', 'SEX')",0.405
35,DEYE,"('AGEP', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.3942
