,Target,QID Combination,DiSCO Score
0,NPF,"('OWN_RENT', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0663
1,NPF,"('DEAR', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0004
2,NPF,"('AGEP', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0096
3,NPF,"('DPHY', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0007
4,NPF,"('PINCP', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0008
5,NPF,"('HISP', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0014
6,NPF,"('EDU', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0034
7,NPF,"('NOC', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0741
8,NPF,"('MSP', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0034
9,NPF,"('PINCP_DECILE', 'POVPIP', 'RAC1P', 'SEX')",0.0564
10,NPF,"('HOUSING_TYPE', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0656
11,NPF,"('PINCP_DECILE', 'PUMA', 'RAC1P', 'SEX')",0.0113
12,NPF,"('DREM', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0006
13,NPF,"('DEYE', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0006
14,NPF,"('DVET', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0008
15,NPF,"('INDP', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0332
16,NPF,"('INDP_CAT', 'PINCP_DECILE', 'RAC1P', 'SEX')",0.0057
17,NPF,"('DEAR', 'OWN_RENT', 'RAC1P', 'SEX')",0.0506
18,NPF,"('AGEP', 'OWN_RENT', 'RAC1P', 'SEX')",0.0659
19,NPF,"('DPHY', 'OWN_RENT', 'RAC1P', 'SEX')",0.0532
20,NPF,"('OWN_RENT', 'PINCP', 'RAC1P', 'SEX')",0.0661
21,NPF,"('HISP', 'OWN_RENT', 'RAC1P', 'SEX')",0.0508
22,NPF,"('EDU', 'OWN_RENT', 'RAC1P', 'SEX')",0.0658
23,NPF,"('NOC', 'OWN_RENT', 'RAC1P', 'SEX')",0.0544
24,NPF,"('MSP', 'OWN_RENT', 'RAC1P', 'SEX')",0.0668
25,NPF,"('OWN_RENT', 'POVPIP', 'RAC1P', 'SEX')",0.0518
