,AGEP,DEAR,DENSITY,DEYE,DPHY,DREM,DVET,EDU,HISP,HOUSING_TYPE,INDP,INDP_CAT,MSP,NOC,NPF,OWN_RENT,PINCP,PINCP_DECILE,POVPIP,PUMA,PWGTP,WGTP
AGEP,0.0,-0.009,-0.0139,-0.0089,-0.0496,-0.0495,-0.01,-0.0399,-0.0112,-0.0095,-0.0805,-0.0194,-0.0141,-0.0132,-0.015,-0.01,-0.0253,-0.0187,-0.0203,-0.0226,-0.0282,-0.0256
DEAR,-0.0375,0.0,0.0157,-0.0115,0.0132,0.0007,0.0093,0.023,0.0156,0.0099,-0.0171,0.0214,0.0332,-0.0022,-0.0086,0.0083,0.0693,0.0234,0.0029,0.0201,0.0023,0.0069
DENSITY,-0.0818,-0.057,0.0,-0.0565,-0.0578,-0.0577,-0.0572,-0.0735,-0.0641,-0.057,-0.1353,-0.0754,-0.0666,-0.0692,-0.0782,-0.0608,-0.0782,-0.0716,-0.0816,-0.9756,-0.0904,-0.0907
DEYE,0.0008,-0.0073,0.0409,0.0,-0.0133,-0.0099,0.0002,0.0522,-0.0,-0.0035,-0.0209,0.0299,0.0034,0.0022,0.0268,-0.0032,0.0381,0.0175,0.0194,0.0372,0.0156,0.008
DPHY,-0.15,-0.016,-0.0229,-0.017,0.0,-0.0793,-0.0146,-0.0655,-0.0147,-0.0183,-0.0881,-0.0369,-0.0213,-0.0331,-0.0257,-0.0176,-0.0233,-0.0297,-0.0262,-0.0183,-0.0345,-0.0323
DREM,-0.0415,-0.0109,-0.0082,-0.0118,-0.0683,0.0,-0.0111,-0.0408,-0.0104,-0.0107,-0.0746,-0.0088,-0.012,-0.0243,-0.0087,-0.0113,-0.006,-0.0106,-0.017,-0.0016,-0.0296,-0.0263
DVET,-0.105,-0.0859,-0.054,-0.1011,-0.0859,-0.1058,0.0,-0.0853,-0.0954,-0.0878,-0.0936,-0.0602,-0.0823,-0.0725,-0.064,-0.0973,-0.0386,-0.1122,-0.0946,-0.0541,-0.0876,-0.0958
EDU,-0.0341,-0.0028,-0.01,-0.0028,-0.0037,-0.0037,-0.004,0.0,-0.0055,-0.0037,-0.0834,-0.0154,-0.0087,-0.0092,-0.0113,-0.0045,-0.0216,-0.0144,-0.017,-0.0209,-0.0272,-0.0247
HISP,-0.0809,-0.0347,-0.081,-0.0374,-0.0447,-0.0432,-0.0396,-0.0687,0.0,-0.0339,-0.0745,-0.0546,-0.058,-0.0604,-0.0704,-0.0566,-0.0531,-0.0696,-0.0772,-0.1068,-0.0944,-0.1012
HOUSING_TYPE,-0.1343,-0.1971,-0.1267,-0.1982,-0.1907,-0.1957,-0.1997,-0.1108,-0.1887,0.0,-0.1625,-0.1342,-0.288,-0.5833,-0.2733,-0.6874,-0.1527,-0.1094,-0.3333,-0.1146,-0.1241,-0.3351
