,AGEP_x,DEAR_x,DEYE_x,DPHY_x,DREM_x,DVET_x,EDU,HISP,HOUSING_TYPE_x,INDP_x,INDP_CAT,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_x,PINCP_DECILE_x,POVPIP_x,PUMA,PWGTP_x,RAC1P,SEX,WGTP_x,AGEP_y,DEAR_y,DEYE_y,DPHY_y,DREM_y,DVET_y,HOUSING_TYPE_y,INDP_y,NOC_y,NPF_y,PINCP_y,PINCP_DECILE_y,POVPIP_y,PWGTP_y,WGTP_y,percent_match
0,13,2,2,1,2,N,8,0,1,7390,12,6,1,7,1,N,2,210,17-03529,207,2,2,113,47,2,2,2,2,N,1,8290,0,N,42220,6,318,64,64,33.33333333333333
1,59,2,1,2,2,N,5,0,1,9920,14,4,2,4,2,126593,3,189,08-00803,142,1,2,224,54,2,2,2,2,N,1,8680,0,2,33000,4,231,72,72,33.33333333333333
2,41,2,2,N,1,N,4,0,3,N,N,5,N,4,2,N,8,257,13-04600,102,2,2,50,58,2,2,2,2,N,1,N,0,N,9300,2,70,117,117,26.666666666666668
3,40,2,2,2,1,N,7,0,1,7860,N,1,0,4,1,-2596,8,396,13-04600,74,2,2,59,79,2,2,1,2,N,1,N,0,2,33860,5,309,52,53,33.33333333333333
4,72,2,2,1,2,N,4,0,1,N,10,6,N,2,1,38838,8,405,38-00100,80,1,1,67,17,2,2,2,2,N,1,7770,3,5,870,0,388,15,19,33.33333333333333
5,34,2,1,2,2,N,10,0,1,6890,15,4,0,4,1,122810,2,292,30-00600,70,1,1,46,37,2,2,2,2,N,1,8770,2,3,36000,6,176,77,77,33.33333333333333
6,54,1,2,2,2,N,4,0,1,8990,7,6,2,N,1,115974,0,470,38-00100,82,1,1,120,17,2,2,2,2,N,1,6170,1,3,4000,1,501,25,43,33.33333333333333
7,14,2,2,2,1,N,8,0,1,N,N,1,0,N,1,N,9,286,28-01100,223,2,1,121,71,1,2,1,2,4,1,N,0,2,21780,5,231,112,111,26.666666666666668
8,60,2,2,2,2,N,7,0,3,7860,12,1,3,N,2,-9000,6,208,36-04010,17,2,1,44,64,2,2,2,2,N,1,8191,0,2,88300,8,501,103,103,33.33333333333333
9,57,2,2,1,2,5,5,0,1,8570,6,4,0,5,2,109956,1,415,19-01700,95,1,1,106,37,2,2,2,2,N,1,4890,0,N,22000,4,166,104,76,33.33333333333333
10,46,2,2,2,2,N,7,0,3,N,N,1,0,3,1,152228,0,501,08-00803,64,6,2,63,84,2,2,2,2,N,1,N,0,2,5400,1,501,94,85,53.333333333333336
11,68,2,2,2,2,N,7,0,1,N,N,4,2,6,0,43681,8,243,36-04010,117,1,1,44,66,2,2,1,2,N,2,N,N,N,10300,2,N,98,0,33.33333333333333
12,27,2,2,2,2,N,7,0,1,7380,4,1,2,4,1,25411,2,479,24-01004,81,1,1,101,63,2,2,2,2,N,1,3580,2,4,62000,6,501,16,15,53.333333333333336
13,35,2,2,2,2,N,7,0,1,180,11,1,0,5,1,4717,4,93,19-01700,79,1,2,44,52,2,2,2,2,N,1,7860,2,5,8400,2,279,63,73,46.666666666666664
