,INDP,count_target,count_deidentified
19,1070,2,0.0
29,1090,2,0.0
3,1170,3,0.0
22,1180,3,1.0
28,1190,2,4.0
20,1280,1,2.0
30,1370,3,3.0
9,1880,2,0.0
4,1990,7,9.0
25,2070,2,0.0
23,2170,1,2.0
2,2190,3,4.0
27,2290,3,1.0
0,2370,5,3.0
10,2670,4,4.0
13,2870,2,3.0
1,2980,5,2.0
5,3080,2,2.0
26,3170,2,0.0
24,3180,4,2.0
7,3291,9,11.0
31,3365,1,2.0
34,3380,2,2.0
17,3390,1,1.0
16,3490,2,2.0
8,3570,6,17.0
12,3580,38,28.0
15,3590,1,2.0
33,3670,1,2.0
21,3875,1,0.0
11,3895,4,3.0
18,3960,2,4.0
14,3970,1,2.0
32,3980,1,5.0
6,3990,2,6.0
