,feature,divergence
22,PWGTP,1.1830547181876307
1,AGEP,1.0795746241290796
23,WGTP,0.8545735643193269
16,POVPIP,0.6501305623603519
14,PINCP,0.6128000390691769
13,EDU,0.3746429188373384
15,PINCP_DECILE,0.3673586139261197
11,INDP,0.34151640839581016
9,OWN_RENT,0.12072513473787355
12,INDP_CAT,0.09902149965929335
7,NPF,0.08390754535065091
3,MSP,0.06579594624864993
6,NOC,0.05889681591938243
5,RAC1P,0.018754761715427424
18,DREM,0.01744378843070877
8,HOUSING_TYPE,0.01571441041537737
2,SEX,0.015420876371036063
4,HISP,0.009718051692738518
17,DVET,0.007853958819783485
19,DPHY,0.006066734074823055
20,DEYE,0.005253373519322334
21,DEAR,0.004869524697110904
10,DENSITY,0.0
0,PUMA,0.0
