,feature,divergence
23,WGTP,1.3868651185904188
22,PWGTP,0.9922975043914232
1,AGEP,0.5287775949540651
11,INDP,0.29414626094551544
14,PINCP,0.2882326615199382
13,EDU,0.20608773045136708
12,INDP_CAT,0.1270824711248126
15,PINCP_DECILE,0.11913657717745263
16,POVPIP,0.10472108189572446
7,NPF,0.10302721397450866
9,OWN_RENT,0.037698386094834585
5,RAC1P,0.030331132941875102
6,NOC,0.027629531569850544
3,MSP,0.023252341983170208
2,SEX,0.008761814644957067
18,DREM,0.007062553750379112
8,HOUSING_TYPE,0.006905999668272069
19,DPHY,0.0026696705840562884
20,DEYE,0.002636965742673133
17,DVET,0.001905314573373923
4,HISP,0.001672686999774973
21,DEAR,0.0009066620441997089
10,DENSITY,0.0
0,PUMA,0.0
