PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP
48-02510,63,1,4,0,1,N,N,2,0,3092.4,N,N,8,0.0,0,N,N,2,1,2,1,21,0
48-02102,45,1,4,0,1,N,N,2,0,450.9,N,N,6,0.0,0,N,N,2,2,2,2,74,0
48-02101,74,1,2,0,1,N,N,2,0,357.4,N,N,7,26400.0,5,N,N,1,1,2,2,13,0
48-02510,75,2,4,0,1,N,N,2,0,3092.4,N,N,7,0.0,0,N,N,1,1,2,2,25,0
48-02102,63,2,4,0,1,N,N,3,0,450.9,N,N,4,520.0,1,3,N,1,1,1,1,3,0
48-02515,33,2,6,0,1,N,N,2,0,2134.8,4971,6,7,700.0,1,N,N,1,2,2,2,92,0
48-02515,44,1,4,4,1,N,N,2,0,2134.8,8680,14,5,44000.0,6,N,N,2,2,2,2,93,0
48-02507,60,2,6,0,2,N,N,3,0,3731.1,N,N,6,9300.0,2,70,N,2,1,2,2,3,0
48-02102,35,1,4,0,1,N,N,2,0,450.9,N,N,5,0.0,0,N,N,2,2,2,2,51,0
48-02101,21,2,6,0,1,N,N,3,0,357.4,6670,8,7,790.0,1,N,N,2,2,2,2,24,0
48-02507,92,2,3,0,1,N,N,3,0,3731.1,N,N,7,23000.0,4,190,N,2,1,1,2,16,0
48-02515,56,2,4,0,1,N,N,2,0,2134.8,N,N,6,0.0,0,N,N,2,2,2,1,45,0
48-02515,35,2,6,1,6,N,N,2,0,2134.8,5280,6,6,14400.0,3,N,N,2,2,2,2,93,0
48-02101,46,2,4,0,1,N,N,2,0,357.4,N,N,7,0.0,0,N,N,1,1,1,2,67,0
48-02515,92,2,3,0,1,N,N,2,0,2134.8,N,N,4,10100.0,3,N,N,1,1,1,2,100,0
48-02515,66,1,4,1,1,N,N,2,0,2134.8,N,N,4,8600.0,2,N,N,1,1,2,2,20,0
48-02515,23,1,6,1,1,N,N,3,0,2134.8,9870,17,5,1400.0,1,N,N,2,2,2,2,176,0
48-02102,69,1,6,0,2,N,N,2,0,450.9,N,N,6,8000.0,2,N,N,1,1,2,2,14,0
48-02102,40,1,6,0,1,N,N,3,0,450.9,N,N,6,6200.0,2,47,N,1,2,2,1,5,0
48-02510,82,2,4,0,1,N,N,2,0,3092.4,N,N,9,8600.0,2,N,N,1,2,1,2,83,0
48-02515,42,2,4,0,1,N,N,2,0,2134.8,9470,16,7,400.0,1,N,N,2,2,2,2,78,0
48-02515,59,1,6,0,2,N,N,2,0,2134.8,N,N,5,0.0,0,N,N,1,1,2,2,75,0
48-02515,60,2,6,0,9,N,N,2,0,2134.8,N,N,7,720.0,1,N,N,1,1,2,1,66,0
48-02102,21,2,6,0,6,N,N,3,0,450.9,7870,11,7,4500.0,2,N,N,2,2,2,2,9,0
48-02102,59,1,6,0,1,N,N,2,0,450.9,N,N,4,12000.0,3,N,N,2,2,2,2,14,0
48-02510,92,2,3,1,1,N,N,2,0,3092.4,N,N,5,0.0,0,N,N,1,1,1,1,21,0
48-02515,56,2,5,0,2,N,N,3,0,2134.8,N,N,6,9300.0,2,70,N,1,1,2,2,10,0
48-02102,65,2,4,0,1,N,N,3,0,450.9,N,N,6,520.0,1,4,N,1,2,2,1,20,0
48-02507,92,2,3,0,1,N,N,3,0,3731.1,N,N,7,11000.0,3,91,N,1,1,2,2,8,0
48-02515,69,2,3,0,1,N,N,2,0,2134.8,N,N,4,32900.0,5,N,N,2,1,2,1,32,0
48-02515,54,1,2,0,2,N,N,3,0,2134.8,7580,10,5,0.0,0,0,N,2,2,2,2,56,0
48-02102,35,1,6,1,1,N,N,2,0,450.9,N,N,3,0.0,0,N,N,2,2,2,2,69,0
48-02102,32,1,6,1,1,N,N,2,0,450.9,770,3,4,33000.0,5,N,N,2,2,2,2,49,0
48-02515,85,2,2,0,1,N,N,3,0,2134.8,6870,9,6,18000.0,4,148,N,1,1,2,1,29,0
48-02101,15,1,6,0,2,N,N,2,0,357.4,N,N,4,0.0,0,N,N,2,2,2,2,84,0
48-02102,76,2,2,1,1,N,N,2,0,450.9,N,N,4,9600.0,2,N,N,1,1,2,2,11,0
48-02101,18,2,6,0,1,N,N,3,0,357.4,N,N,4,9600.0,2,73,N,1,2,1,2,8,0
48-02515,29,1,6,0,2,N,N,2,0,2134.8,8770,15,6,20400.0,4,N,N,2,2,2,2,92,0
