,INDP,count_target,count_deidentified
6,4670,23,0.0
32,4680,1,0.0
0,4690,9,0.0
2,4770,10,0.0
16,4780,1,0.0
17,4795,11,0.0
10,4870,13,0.0
8,4880,16,0.0
30,4890,8,0.0
7,4971,44,0.0
24,4972,8,0.0
18,4980,2,0.0
26,4990,5,0.0
5,5070,10,0.0
25,5080,6,0.0
28,5090,15,0.0
4,5170,23,0.0
22,5180,3,0.0
21,5190,4,0.0
20,5275,27,0.0
31,5280,1,0.0
14,5370,5,0.0
12,5381,13,0.0
3,5391,59,0.0
27,5470,3,0.0
19,5480,4,0.0
13,5490,6,0.0
1,5570,6,0.0
15,5580,10,0.0
23,5593,8,0.0
29,5680,2,0.0
9,5690,6,0.0
11,5790,11,0.0
