,AGEP_x,DEAR_x,DENSITY_x,DEYE_x,DPHY_x,DREM_x,DVET_x,EDU,HISP,HOUSING_TYPE_x,INDP_x,INDP_CAT,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_x,PINCP_DECILE_x,POVPIP_x,PUMA,PWGTP_x,RAC1P,SEX,WGTP_x,AGEP_y,DEAR_y,DENSITY_y,DEYE_y,DPHY_y,DREM_y,DVET_y,HOUSING_TYPE_y,INDP_y,NOC_y,NPF_y,PINCP_y,PINCP_DECILE_y,POVPIP_y,PWGTP_y,WGTP_y,percent_match
0,64,1,7,2,2,2,N,8,0,1,7670,10,1,0,3,1,590000,6,454,06-08507,67,1,1,65,64,2,7,2,2,2,N,1,7380,0,2,25200,4,244,102,101,50.0
1,38,2,11,2,2,2,N,6,0,3,N,N,6,N,N,0,100190,0,N,29-01901,18,2,1,0,25,2,8,2,2,2,N,2,N,N,N,0,0,N,14,0,68.75
2,38,2,8,2,2,2,N,5,0,1,9290,15,1,0,4,1,56400,7,440,40-00200,56,1,1,39,58,2,0,2,2,2,N,1,8770,0,2,53000,8,398,273,274,43.75
3,48,2,3,2,2,2,N,8,0,1,N,N,6,1,3,1,0,0,468,36-04010,197,1,2,236,72,2,13,2,2,2,N,1,N,0,N,30800,5,253,38,39,43.75
4,20,2,7,2,2,2,N,10,0,1,8290,12,6,2,2,2,69900,7,95,06-07502,108,1,2,98,59,2,12,2,2,2,N,1,8080,0,N,30700,5,234,58,58,37.5
5,65,2,0,2,2,2,N,7,0,1,4780,6,4,0,3,2,34000,3,479,30-00600,115,1,2,95,55,2,0,2,2,2,N,1,4890,0,N,39000,6,296,31,31,50.0
6,36,2,7,2,2,2,N,7,0,1,4195,7,1,0,5,2,210400,4,244,28-01100,291,2,1,287,40,2,7,2,2,2,N,1,6170,3,5,7500,2,160,42,32,50.0
7,9,2,8,2,2,2,N,2,0,1,N,N,N,2,3,2,N,N,47,29-01901,273,1,2,226,4,2,8,2,N,N,N,1,N,2,4,N,N,501,150,79,56.25
8,30,2,12,2,2,2,N,8,0,1,8270,12,1,0,2,2,10240,8,501,51-51255,94,1,2,76,70,2,10,2,2,2,N,1,8191,0,2,83400,8,501,108,118,62.5
9,34,2,13,2,2,1,N,6,0,1,7580,12,6,2,7,2,55780,1,228,36-03710,97,2,1,136,25,2,13,2,2,2,N,1,8191,0,4,30000,5,121,685,246,37.5
10,32,2,10,2,2,2,N,7,0,1,7990,N,6,2,9,2,12720,7,5,17-03529,134,1,2,137,20,2,11,2,2,2,N,1,N,0,N,0,0,0,105,122,37.5
11,28,2,10,2,2,2,N,8,0,1,6991,3,6,0,N,2,100190,0,57,51-51255,66,1,1,85,25,2,10,1,2,2,N,1,770,0,N,90000,8,501,49,49,50.0
12,3,2,4,2,N,N,N,1,0,1,N,N,N,4,5,2,N,N,391,32-00405,10,3,1,20,3,2,9,2,N,N,N,1,N,5,6,N,N,71,166,214,62.5
13,26,2,8,2,2,2,N,9,0,1,3390,4,6,0,N,1,553000,7,384,24-01004,66,1,1,60,26,2,8,2,2,2,N,1,3390,0,3,0,0,501,20,15,62.5
14,63,2,10,2,2,2,N,6,0,1,6180,3,6,0,9,2,224000,0,24,17-03529,75,2,2,60,42,2,11,2,2,2,N,1,770,0,N,15000,3,113,153,152,43.75
15,64,2,7,2,2,2,N,10,0,1,7280,12,1,0,2,1,17800,5,501,06-08507,36,6,2,41,55,2,7,2,2,2,N,1,8090,0,2,141500,9,501,49,49,62.5
16,79,2,6,2,2,2,N,9,0,1,N,N,3,0,N,1,92700,2,62,32-00405,37,1,2,63,93,1,9,2,1,1,N,1,N,0,3,40000,6,429,35,35,31.25
17,60,2,0,2,2,2,N,8,0,1,1770,0,4,0,2,1,43200,1,501,38-00100,42,1,1,42,39,2,0,2,2,2,N,1,170,1,2,40000,5,229,17,18,50.0
18,21,2,7,2,2,2,N,10,0,1,8070,10,4,0,N,1,691000,8,493,13-04600,57,1,2,51,37,2,7,2,2,2,N,1,7280,0,N,78000,8,501,54,53,62.5
19,3,2,8,2,N,N,N,1,0,1,N,N,N,1,3,1,N,N,501,24-01004,43,9,1,50,3,2,8,2,N,N,N,1,N,1,3,N,N,501,40,58,87.5
20,43,2,8,2,2,2,N,6,0,3,9170,7,6,N,9,0,-900,0,455,13-04600,28,2,1,9,32,2,7,2,2,2,N,2,6290,N,N,0,0,N,66,0,43.75
21,74,2,10,2,2,2,N,9,0,1,N,N,4,0,5,1,586000,1,24,13-04600,71,2,1,36,70,2,7,2,2,2,N,1,N,0,N,62400,7,501,20,20,50.0
22,65,2,11,2,2,1,N,7,0,1,7280,4,4,0,2,1,64240,1,494,32-00405,73,1,2,56,47,2,9,2,2,2,N,1,1691,1,2,3000,1,17,70,70,43.75
23,39,2,8,2,2,2,N,10,0,1,8090,12,1,2,8,1,3400,5,64,24-01004,87,8,2,199,40,2,8,2,2,2,N,1,8080,2,4,25000,4,501,112,117,50.0
24,23,2,9,2,2,2,N,8,0,1,6480,11,1,0,3,1,609000,3,494,19-01700,129,1,2,61,27,2,7,2,2,2,N,1,7860,0,2,20000,3,501,629,629,50.0
25,57,2,5,2,2,2,N,5,0,1,8680,5,1,0,3,1,201000,5,39,28-01100,51,2,1,12,35,2,7,2,2,2,N,1,4470,0,2,62000,8,501,183,183,43.75
26,37,2,10,2,2,2,N,7,0,1,8180,14,6,0,2,1,240,8,467,13-04600,106,2,2,111,23,2,7,2,2,2,N,1,8590,0,3,3000,1,251,188,98,43.75
27,91,2,12,2,2,2,N,6,0,1,N,N,3,0,8,2,121600,3,109,32-00405,64,2,2,117,43,2,9,1,1,1,N,1,N,0,N,10200,2,77,47,47,31.25
28,36,2,0,2,2,2,N,5,0,1,7490,15,6,0,12,1,3300,6,39,40-00200,34,1,2,41,21,2,0,2,2,2,N,1,9090,0,3,20000,4,151,378,155,50.0
29,62,2,7,2,2,2,N,7,0,1,270,14,3,0,N,2,56700,8,330,01-01301,169,2,2,69,60,2,7,2,2,2,N,1,8680,0,N,1000,1,7,82,82,56.25
30,55,2,10,2,2,2,N,11,0,1,7071,17,1,0,2,1,76900,8,501,51-51255,121,1,2,92,49,2,10,2,2,2,N,1,9680,0,2,165010,9,501,79,79,62.5
31,16,2,0,2,2,2,N,7,0,2,7880,N,6,N,N,0,105440,1,93,30-00600,32,1,1,0,76,1,0,2,1,2,N,2,N,N,N,53300,7,N,8,0,50.0
32,1,2,8,2,N,N,N,N,0,1,N,N,N,0,3,1,N,N,39,51-51255,49,2,1,33,2,2,10,2,N,N,N,1,N,3,4,N,N,38,150,238,56.25
33,34,2,11,2,2,2,N,6,0,1,7181,12,6,0,4,2,79600,7,501,30-00600,83,1,1,85,24,2,0,2,2,2,N,1,8290,3,4,5000,1,38,105,86,43.75
34,43,2,9,2,2,2,N,5,0,1,8570,8,1,0,6,1,352300,5,346,19-01700,71,1,2,68,38,2,7,2,2,2,N,1,6672,0,2,0,0,439,154,174,43.75
35,42,2,11,2,2,2,N,9,0,1,6270,8,6,0,N,1,201200,8,454,51-01301,92,1,1,122,45,2,10,2,2,2,N,1,6480,0,N,45000,6,340,103,102,50.0
36,47,2,7,2,2,2,N,9,0,1,2890,4,1,0,11,2,22900,8,9,08-00803,55,1,2,54,50,2,7,2,2,2,N,1,2290,0,2,190000,9,501,311,335,50.0
37,52,2,0,2,2,2,N,6,0,1,8780,12,1,0,3,1,28020,4,479,36-03710,47,1,1,26,40,2,13,2,2,2,N,1,8191,1,3,50000,6,493,46,43,43.75
38,61,2,7,2,2,2,N,7,0,1,9170,6,3,0,12,2,1580,5,191,01-01301,181,2,1,142,62,2,7,2,2,2,N,1,4690,0,2,120000,9,501,195,203,50.0
39,64,2,11,2,2,2,N,12,0,1,9770,11,1,0,3,1,91400,7,54,17-03529,41,2,1,38,48,2,11,2,2,2,N,1,7870,3,5,40000,6,421,238,228,43.75
40,80,2,6,2,2,2,N,5,0,1,N,N,1,0,2,1,44230,3,323,28-01100,46,1,1,47,86,1,7,2,2,2,N,1,N,0,2,45400,7,501,62,62,50.0
41,62,2,10,2,2,2,N,10,0,1,7790,10,1,0,2,1,27200,8,485,17-03529,85,2,2,67,37,2,11,2,2,2,N,1,7460,3,5,0,0,329,437,652,37.5
42,42,2,11,2,2,1,N,9,0,1,1670,4,6,0,8,1,277000,7,49,06-07502,189,1,2,249,45,2,12,2,2,2,N,1,2870,0,N,210000,9,501,101,101,37.5
43,8,2,8,2,2,N,N,2,4,1,N,N,N,2,4,2,N,N,53,24-01004,66,1,1,46,4,2,8,2,N,N,N,1,N,3,5,N,N,501,60,56,56.25
44,73,2,9,2,2,2,N,8,0,1,N,N,1,0,2,2,264000,5,240,29-01901,106,2,1,117,58,2,8,2,2,2,N,1,N,1,5,0,0,250,111,211,43.75
45,19,2,11,2,2,2,N,10,0,1,7790,10,6,0,N,2,93500,7,471,17-03529,92,1,1,96,26,2,11,2,2,2,N,1,7460,0,N,12000,2,90,68,67,56.25
46,79,1,0,2,1,2,N,9,0,1,N,N,3,0,2,1,210200,2,298,40-00200,89,1,1,82,72,2,0,2,2,2,N,1,N,0,N,16000,4,131,51,51,43.75
47,32,2,11,2,2,2,N,5,0,1,7480,10,6,0,N,2,3600,4,249,32-00405,84,1,2,65,23,2,9,2,2,1,2,1,7380,0,N,10400,2,79,72,72,37.5
48,43,2,7,2,2,2,N,9,0,1,8290,14,1,0,4,1,51200,7,419,19-01700,66,1,2,163,36,2,7,2,2,2,N,1,8590,2,5,45300,7,501,126,144,50.0
49,15,2,8,1,2,2,N,3,0,1,N,N,6,4,3,1,-9000,0,501,24-01004,104,6,1,24,15,2,8,2,2,2,N,1,N,1,3,0,0,501,71,57,68.75
50,66,1,7,2,1,1,N,5,0,1,8891,4,6,0,4,1,52090,1,178,13-04600,42,2,1,102,48,2,7,2,2,2,N,1,3990,0,2,20000,4,191,178,85,31.25
51,51,2,11,2,2,2,N,7,0,1,6690,10,4,0,8,1,41700,6,92,06-08507,60,1,2,44,34,2,7,2,2,2,N,1,7580,0,3,40000,6,501,74,62,50.0
52,17,2,0,2,2,2,N,4,0,1,8090,12,6,0,5,2,-9000,0,483,40-00200,158,1,2,94,16,2,0,2,2,2,N,1,8270,3,5,26800,5,501,95,155,50.0
53,53,2,13,2,2,2,N,4,0,1,5680,6,1,2,5,2,48400,3,485,36-04010,207,2,1,311,45,2,13,2,2,2,N,1,4870,3,5,33000,5,230,79,74,50.0
54,94,1,4,2,1,2,N,4,0,2,N,N,3,N,N,0,162300,4,276,28-01100,51,1,2,40,87,2,7,2,1,1,N,3,N,N,N,8000,2,66,14,0,37.5
55,19,2,13,2,2,2,N,7,0,1,8670,14,6,0,2,2,34700,3,202,29-01901,166,2,2,41,21,2,8,2,2,2,N,1,8680,2,4,1000,1,5,244,251,37.5
56,43,1,0,2,2,1,N,4,0,1,9180,12,6,1,N,1,38600,1,325,30-00600,108,3,2,133,17,2,0,2,2,2,N,1,8170,1,4,6000,1,427,103,83,43.75
57,17,2,8,2,2,2,N,7,0,1,9490,N,6,0,2,2,32120,0,459,29-01901,144,1,2,76,43,2,8,2,2,1,5,1,N,1,2,50900,7,307,136,135,37.5
58,83,2,8,2,2,2,N,8,0,1,9480,6,1,1,12,1,30600,2,295,24-01004,47,1,2,38,61,2,8,2,2,2,N,1,5170,0,3,8000,2,208,75,75,50.0
59,60,2,9,2,2,2,N,5,2,1,6590,4,1,1,6,2,561000,7,277,32-00405,44,1,1,62,48,2,9,2,2,2,N,1,3490,1,4,55000,7,250,41,41,56.25
60,21,2,7,2,2,2,N,11,0,1,8790,12,6,0,N,1,61400,7,428,06-08507,43,1,2,73,29,2,7,2,2,2,N,1,7980,0,2,131020,9,501,109,56,50.0
61,75,2,9,2,2,2,N,9,0,1,8990,14,1,0,2,2,36400,2,48,26-02702,88,1,2,76,30,2,8,2,2,2,N,1,8680,0,2,0,0,475,70,58,50.0
62,19,2,10,2,2,2,N,12,0,1,7990,10,6,0,10,2,239900,3,112,51-51255,170,6,1,309,30,2,10,2,2,2,N,1,7270,0,N,100000,8,501,67,140,50.0
63,0,2,10,2,N,N,N,N,1,1,N,N,N,2,4,2,N,N,76,51-01301,85,1,1,96,1,2,10,2,N,N,N,1,N,1,3,N,N,501,249,207,62.5
64,27,2,10,2,2,2,2,9,0,1,5275,16,6,0,N,2,107500,8,501,06-07502,78,1,1,108,83,2,12,2,1,2,N,1,9570,0,N,173610,9,501,75,75,43.75
65,51,2,6,2,2,2,N,6,0,1,3080,N,1,0,5,1,58200,4,67,28-01100,91,1,1,85,86,1,7,2,1,1,2,1,N,0,2,55780,8,501,38,44,18.75
66,35,2,10,2,2,2,N,5,0,1,8670,17,6,0,N,2,69800,7,495,51-51255,90,1,1,69,28,2,10,2,2,2,N,1,9690,0,N,45000,6,341,165,165,56.25
67,61,2,7,2,2,2,N,5,0,1,9160,15,3,0,11,1,7040,5,236,19-01700,128,1,2,193,83,2,7,2,2,2,N,1,9160,0,2,61500,8,470,60,60,56.25
68,54,1,0,2,2,2,N,6,0,1,4195,16,1,0,4,1,576000,7,483,40-00200,51,3,2,59,48,2,0,2,2,2,N,1,9370,1,3,40000,7,226,62,62,43.75
69,16,2,11,2,2,2,N,4,1,1,N,N,6,1,3,1,10,0,444,40-00200,32,1,1,36,17,2,0,2,2,2,N,1,N,2,4,0,0,188,17,49,50.0
70,42,2,10,2,2,2,N,7,0,1,9390,12,1,2,12,2,53800,8,501,29-01901,42,1,1,59,29,2,8,2,2,2,N,1,7970,0,2,34000,6,443,152,148,37.5
71,37,2,11,2,2,2,N,7,0,1,4280,9,1,0,3,1,110250,0,432,28-01100,28,1,2,19,62,2,7,2,2,2,N,1,6870,0,2,40020,7,501,48,43,43.75
72,87,2,0,2,2,2,N,7,0,1,5470,6,1,0,12,1,178900,3,137,40-00200,48,3,1,47,41,2,0,2,2,2,N,1,4870,2,4,371000,9,501,281,281,43.75
73,54,2,10,2,2,2,N,7,0,1,7390,10,1,0,3,1,-2200,8,501,51-51255,51,1,2,69,61,2,10,2,2,2,N,1,7770,0,2,17500,3,501,59,54,56.25
74,21,2,0,2,2,2,N,5,0,1,9670,1,4,2,7,1,176300,0,48,30-00600,15,1,1,19,58,2,0,2,2,2,N,1,490,0,2,25000,4,501,24,21,43.75
75,33,2,8,2,2,2,N,6,0,1,6270,7,6,0,N,1,121040,1,396,17-03531,149,2,2,130,43,2,10,2,2,2,N,1,6180,0,4,2300,1,260,53,39,50.0
76,76,1,0,1,2,2,N,9,0,1,N,N,4,0,3,1,52800,8,387,30-00600,9,1,1,14,78,2,0,2,2,2,N,1,N,0,N,10600,2,86,48,48,43.75
77,70,2,13,2,2,2,N,4,0,1,6870,18,6,0,3,1,18700,3,188,29-01901,65,2,1,52,29,2,8,2,2,2,N,1,9920,0,3,0,0,160,73,48,50.0
78,25,2,11,2,2,2,N,9,0,1,7570,10,6,0,4,2,630000,8,53,17-03529,143,1,2,148,28,2,11,2,2,2,N,1,7390,0,N,49000,6,370,76,76,50.0
79,71,2,9,2,1,2,N,10,0,1,N,N,3,0,2,1,100700,1,243,06-08507,82,1,2,21,94,2,7,2,1,1,N,1,N,0,N,47200,6,389,59,59,43.75
80,59,2,2,2,2,2,N,4,0,1,9790,9,1,0,12,1,443200,2,57,36-03710,247,1,2,356,59,2,13,2,2,1,N,1,7072,0,2,18000,3,501,66,69,43.75
81,19,2,8,2,2,2,N,5,0,1,3470,4,6,0,5,2,37300,1,107,26-02702,413,1,2,404,21,2,8,2,2,2,N,1,3570,0,N,3200,1,24,102,93,56.25
82,63,2,12,2,2,2,N,4,0,1,5170,14,6,0,N,2,110700,3,168,01-01301,170,2,1,130,17,2,7,2,2,2,N,1,8680,0,6,7000,2,392,248,200,43.75
83,28,2,6,2,2,2,N,10,0,1,8192,12,6,0,N,2,614000,6,497,30-00600,57,1,2,88,25,2,0,2,2,2,N,1,8080,0,N,106900,9,501,189,188,50.0
84,26,2,7,2,2,2,N,9,0,1,6280,11,6,0,N,1,2500,8,429,06-08507,133,1,1,125,24,2,7,2,2,2,N,1,7870,0,3,6000,2,501,64,52,50.0
85,58,2,7,2,2,2,N,9,0,1,7970,12,4,0,N,1,70400,3,501,13-04600,39,1,1,55,41,2,7,2,2,2,N,1,8170,0,N,110000,9,501,50,42,62.5
86,56,2,8,2,2,2,N,11,0,1,7270,10,4,0,12,1,61400,9,501,24-01004,34,1,1,58,70,2,8,2,2,2,N,1,7270,0,2,582100,9,501,16,16,68.75
87,62,2,8,2,2,2,N,4,0,1,7870,10,6,0,9,2,11360,9,61,28-01100,94,1,1,75,21,2,7,1,2,2,N,1,7580,0,2,4700,2,98,180,155,37.5
88,55,2,0,2,2,2,N,6,0,1,6770,4,1,1,2,1,451400,8,448,38-00100,195,1,1,231,65,2,0,2,2,2,N,1,2290,0,2,75000,8,501,23,22,56.25
89,34,2,7,2,2,2,N,10,0,1,7770,3,1,2,4,1,251500,8,501,06-08507,54,1,1,60,57,2,7,2,2,2,N,1,770,0,2,953000,9,501,39,39,50.0
