,feature,divergence
13,EDU,3.700605225018081
1,AGEP,3.416403369784712
14,PINCP,3.0501317967171047
0,PUMA,2.6181024974832705
7,NPF,1.9887890036612756
10,DENSITY,1.848872060993358
11,INDP,1.7474140749425786
23,WGTP,1.6251348517029842
16,POVPIP,1.2131824660198478
22,PWGTP,1.171313356045331
15,PINCP_DECILE,0.9231679878607124
12,INDP_CAT,0.8727621524208903
3,MSP,0.20194048536209558
6,NOC,0.06886581701215334
5,RAC1P,0.04797236318381349
9,OWN_RENT,0.046009016171847245
19,DPHY,0.02138875120273319
18,DREM,0.01612584360815008
4,HISP,0.013387194846713076
8,HOUSING_TYPE,0.00980899623527635
20,DEYE,0.005884057619087585
21,DEAR,0.005299149567407839
17,DVET,0.001564891180985082
2,SEX,0.0013855067040975388
