,INDP,count_target,count_deidentified
3,1070,2,2.0
26,1080,4,2.0
29,1090,2,1.0
38,1170,5,2.0
5,1180,7,4.0
39,1190,2,1.0
18,1270,2,0.0
9,1280,11,12.0
23,1290,1,1.0
27,1370,3,1.0
28,1390,1,0.0
46,1480,1,2.0
45,1670,1,0.0
13,1691,5,1.0
22,1790,4,4.0
37,1870,1,1.0
30,1880,1,0.0
34,1990,3,3.0
7,2090,2,1.0
36,2190,6,8.0
24,2270,1,0.0
35,2280,2,1.0
20,2290,2,3.0
12,2370,3,8.0
44,2380,1,0.0
19,2390,2,2.0
21,2570,1,0.0
15,2590,3,1.0
10,2670,5,8.0
1,2770,3,3.0
4,2870,2,2.0
6,2880,2,2.0
32,2890,2,1.0
16,2980,3,4.0
42,3070,1,0.0
41,3080,1,7.0
0,3291,6,8.0
17,3370,1,2.0
40,3390,4,9.0
31,3490,4,6.0
2,3570,13,10.0
14,3580,4,3.0
43,3875,1,1.0
25,3895,2,0.0
8,3960,5,2.0
33,3980,5,3.0
11,3990,12,7.0
