,feature,divergence
22,PWGTP,1.9930528112999164
23,WGTP,1.4388666139341206
1,AGEP,0.7904745573854931
0,PUMA,0.3415306895582076
14,PINCP,0.24727438522297238
11,INDP,0.21866455854139694
15,PINCP_DECILE,0.21215968803054258
13,EDU,0.1612410238702705
7,NPF,0.09282567035200691
16,POVPIP,0.09133043505321312
12,INDP_CAT,0.07870360552757215
10,DENSITY,0.07495436804883049
6,NOC,0.04407110639790321
5,RAC1P,0.04079419360863992
9,OWN_RENT,0.03722621641515189
3,MSP,0.0277164319469679
2,SEX,0.01711998440141893
4,HISP,0.0053018955150193935
18,DREM,0.0038442624567201003
19,DPHY,0.003665731815669558
17,DVET,0.002981991479391678
8,HOUSING_TYPE,0.002641303297781235
20,DEYE,0.0024044212548692684
21,DEAR,0.00039410932446284214
